#mockID apara_BAO aperp_BAO apara_RSD aperp_RSD fs8
0 0.950193 1.009860 0.986924 0.997556 0.442225
1 1.019950 0.993843 0.931387 1.012188 0.532763
2 0.998873 1.019160 1.057550 1.008986 0.449802
3 1.018640 1.016410 0.994976 1.030345 0.605150
4 1.037810 0.996655 1.004282 0.996281 0.502072
5 0.990425 1.013500 0.992879 1.004528 0.473354
6 1.047410 1.007440 0.877552 1.037873 0.681972
7 1.026170 0.995266 1.035290 0.987817 0.482866
8 0.984794 1.021460 0.942795 1.048841 0.649885
9 1.014430 1.002380 0.983764 0.981904 0.472946
10 0.977279 1.026270 1.018986 1.011456 0.477318
11 1.066100 1.006670 1.004290 1.016304 0.524633
12 1.004120 1.002190 0.912224 1.022520 0.541140
13 1.008840 0.996132 1.035475 0.979026 0.434381
14 1.001370 1.010360 0.831728 1.049641 0.694271
15 0.971884 1.023700 0.951700 1.018903 0.558053
16 1.006110 0.996159 0.916828 0.992551 0.508411
17 1.002560 1.001840 1.009665 0.986676 0.438319
18 0.969903 1.022160 0.975526 1.013210 0.497680
19 1.031180 0.991464 1.077252 0.967464 0.448554
20 1.026120 0.999820 0.891262 1.029257 0.635167
21 0.994648 1.016210 0.879669 1.032858 0.534096
22 0.992400 1.020500 0.932721 1.027808 0.629939
23 1.054360 0.978572 1.026103 0.967745 0.417878
24 1.028150 1.008450 1.019846 1.001955 0.454733
25 1.058270 0.999698 1.025289 0.984394 0.446800
26 0.986732 1.017670 0.999306 1.017097 0.547297
27 0.988574 1.032490 0.967644 1.020870 0.540998
28 1.011850 1.001010 0.981833 0.966624 0.457447
29 1.002590 0.977317 0.897141 0.998010 0.520157
30 1.018300 1.040440 0.964159 1.003861 0.532417
31 1.015450 1.007960 1.008136 0.988579 0.455412
32 0.991721 0.991216 0.996035 0.972274 0.495851
33 0.979873 0.999763 0.986974 1.005467 0.503583
34 1.002780 0.998682 0.961181 0.988080 0.574200
35 1.060660 1.013090 1.034942 1.009831 0.425784
36 1.018540 1.001930 0.990163 0.986343 0.500634
37 1.046940 1.004560 0.996235 0.989796 0.458176
38 1.016780 1.006470 1.187904 0.905080 0.242732
39 1.023590 0.988490 1.049716 0.971241 0.419659
40 0.989509 1.012770 0.981455 0.980365 0.448416
41 0.994778 0.982608 0.967800 0.980742 0.490804
42 1.046930 1.013320 1.054475 1.010599 0.526097
43 1.087260 1.009270 1.039332 1.020608 0.463741
44 1.027010 1.000590 1.076104 0.956110 0.399927
45 1.006360 1.017690 0.938567 1.043948 0.550040
46 0.989467 1.008790 0.931319 1.019647 0.557605
47 1.032000 1.012640 0.987451 1.007283 0.495516
48 0.986147 1.015920 0.990472 0.986544 0.506741
49 1.011320 1.011370 0.991922 0.995154 0.468092
50 0.970828 1.009920 0.948822 1.021562 0.536759
51 1.003390 0.998761 0.990122 0.999572 0.477365
52 1.034090 1.022290 0.971168 1.016590 0.528478
53 1.024130 1.023790 0.950398 1.022458 0.540443
54 0.962938 1.010290 0.956371 0.975386 0.438957
55 1.040110 1.012930 1.044620 0.981877 0.413391
56 1.015980 1.037210 0.977596 1.009433 0.512702
57 1.017140 1.008560 1.018516 1.041762 0.553262
58 1.027680 0.980854 1.008357 0.970131 0.455940
59 1.053060 1.019300 1.053987 0.998904 0.470127
60 0.982848 1.016230 0.948408 1.009151 0.511244
61 1.012960 0.980764 0.807797 1.004493 0.672887
62 1.013230 0.988766 0.923822 1.000660 0.535351
63 1.007450 0.990630 0.953607 0.987288 0.473806
64 0.986081 1.011240 1.004987 1.014827 0.491701
65 1.020520 0.990153 1.009038 0.961022 0.464987
66 0.989457 1.005650 0.981050 1.006911 0.520813
67 1.004990 1.005650 0.852220 1.034106 0.669434
68 1.035670 0.996310 1.038176 0.943744 0.413375
69 1.007620 1.001980 1.009056 0.996459 0.433161
70 1.009770 1.014410 0.971690 1.039755 0.543720
71 0.972981 0.971750 0.960100 0.964824 0.506701
72 1.032240 1.012810 0.980898 1.017368 0.486356
73 1.051210 1.007350 0.975003 1.019367 0.537041
74 1.046560 0.984430 1.048450 0.978932 0.374809
75 1.013930 1.019680 0.989638 0.987998 0.476662
76 0.996115 0.980637 1.019481 0.938015 0.435709
77 1.013530 1.001950 1.005972 0.997139 0.472060
78 1.014580 0.981171 1.029184 0.938169 0.383917
79 0.975589 1.018900 0.973684 1.026444 0.528925
80 1.032590 0.989365 0.980973 0.987853 0.495432
81 1.056510 0.978606 1.009984 0.967977 0.483577
82 1.025490 1.005480 0.897713 1.070055 0.659030
83 1.003670 0.982590 1.065641 0.980296 0.444099
84 0.977207 1.002490 0.812275 1.036218 0.677921
85 1.037900 0.985996 1.044972 0.974001 0.415389
86 0.965709 1.030230 0.817701 1.021228 0.641487
87 1.032780 1.006370 1.022209 0.982495 0.468645
88 0.975527 1.005480 0.970325 1.003010 0.517532
89 1.010690 0.985051 1.039869 0.964387 0.412461
90 1.024880 1.038800 0.908345 1.052544 0.681183
91 1.054280 0.982129 1.041309 0.961707 0.389038
92 1.017870 0.975773 1.012272 0.968341 0.417872
93 0.979116 0.998061 0.983626 0.969200 0.456778
94 1.043380 1.010190 1.013905 0.990609 0.490605
95 0.996961 1.007380 0.943845 1.030351 0.603111
96 0.954866 1.026680 0.945132 1.005414 0.578720
97 1.039440 0.981704 1.061569 0.955789 0.395228
98 1.021360 1.023560 0.897483 1.040377 0.609695
99 0.996704 1.030580 1.019139 0.979274 0.405211
100 0.964196 1.017700 0.914296 1.004725 0.517081
101 0.977276 1.026540 0.961498 1.001332 0.566712
102 1.041160 1.012140 1.015064 1.015556 0.502764
103 0.979546 1.027530 0.945089 1.018392 0.501291
104 0.976833 1.040050 0.948877 1.039068 0.599265
105 0.993780 1.022550 0.977905 1.007866 0.510206
106 1.011410 0.971252 0.994576 0.974308 0.511478
107 1.048780 0.979525 1.094300 0.946534 0.406288
108 0.956707 1.015140 0.892934 1.019216 0.593424
109 0.984657 1.009770 0.979482 0.995417 0.454796
110 1.015200 1.002950 0.953396 0.999303 0.529818
111 0.989418 1.019850 0.958974 1.001271 0.522421
112 1.019910 1.014240 0.950812 1.016838 0.578478
113 1.064290 0.997856 0.966865 0.978410 0.562737
114 1.031850 0.982248 1.001952 0.994181 0.501953
115 1.009770 1.017880 0.944834 1.022789 0.492350
116 1.024760 0.973478 1.050184 0.964154 0.433615
117 0.967379 1.019100 0.949408 1.003184 0.521624
118 0.980770 1.023740 0.847794 1.029658 0.652832
119 1.035730 0.998923 0.979696 1.007369 0.524003
120 0.956981 1.036970 0.963851 1.023295 0.557538
121 1.033730 1.015060 0.983482 0.975721 0.404873
122 1.011020 1.014010 0.850514 1.045044 0.742031
123 1.019890 1.029370 0.983249 1.036117 0.635956
124 0.993256 1.024620 0.949205 0.999728 0.562501
125 1.015920 0.988356 1.006561 0.972630 0.477938
126 0.989337 1.031460 1.000451 1.005091 0.470619
127 1.004060 0.984530 1.042089 0.949406 0.439402
128 1.039390 1.002860 0.928490 1.009713 0.559877
129 1.058480 1.013530 1.025128 0.985527 0.456006
130 1.004480 1.003610 1.002622 0.989900 0.512195
131 1.025310 0.995501 0.994843 0.980361 0.432693
132 1.044330 1.001710 0.950762 0.994597 0.489754
133 0.995443 0.998348 0.871195 1.046387 0.571185
134 1.092100 0.967693 1.083455 0.968807 0.408837
135 0.996201 1.006030 0.909144 0.995663 0.570616
136 0.996505 1.001170 0.945008 1.014717 0.557132
137 1.005010 0.985267 0.983563 0.989543 0.434140
138 1.028390 1.008600 0.874559 1.027399 0.596554
139 1.003850 1.007900 0.996672 0.995360 0.469395
140 1.003160 1.000800 0.948204 0.985056 0.516322
141 0.972963 1.031460 1.001856 1.003335 0.495254
142 1.015300 0.996962 1.028702 0.991214 0.469393
143 1.024510 1.010050 0.924887 1.045743 0.592711
144 0.989234 1.017090 0.976582 1.010317 0.473748
145 1.009760 1.017460 0.956100 1.020976 0.524313
146 1.025050 1.008300 0.905650 1.018623 0.577394
147 0.993155 0.986235 0.936388 0.974215 0.511047
148 1.005100 0.991844 0.984074 0.978990 0.503910
149 0.971523 0.987892 0.924086 0.998780 0.552094
150 1.025360 1.004800 0.986011 1.014150 0.524360
151 0.996413 1.005010 0.932392 1.028885 0.528639
152 1.012520 1.027470 1.015028 1.001831 0.523212
153 0.980823 0.994664 0.904205 1.018112 0.576294
154 1.018350 0.990973 1.005295 0.960591 0.413773
155 1.018130 1.015660 0.950984 1.026187 0.526600
